종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지(H)
256750,4,KODEX 차이나심천ChiNext(합성),12810,5,-375,-2.84,12956.0,13.3705,1781,23,525,해외 주식,KODEX,False,False,False
099140,4,KODEX 차이나H,17155,5,-80,-0.46,17114.0,5.7686,1851,31,515,해외 주식,KODEX,False,False,False
233160,3,TIGER 코스닥150 레버리지,9350,2,80,0.86,9361.0,-25.091,78814,731,510,국내 파생,TIGER,False,True,False
397420,6,KBSTAR 국채선물5년추종,47725,5,-35,-0.07,47709.0,0.9405,2,0,507,채권,KBSTAR,False,False,False
419890,6,히어로즈 단기채권ESG액티브,99595,3,0,0.0,99615.0,-0.1604,0,0,498,채권,히어로즈,False,False,False
122260,6,KOSEF 통안채1년,100870,5,-15,-0.01,100872.0,-0.1139,18,1,494,채권,KOSEF,False,False,False
387280,2,TIGER 퓨처모빌리티액티브,8720,2,70,0.81,8701.0,-16.787,907,7,487,국내 업종/테마,TIGER,False,False,False
411540,1,SOL 200 Top10,8135,2,10,0.12,8136.0,-4.468,1225,9,480,국내 시장지수,SOL,False,False,False
269540,4,ARIRANG 미국S&P500(H),16325,5,-190,-1.15,16287.0,-10.1714,11599,189,473,해외 주식,ARIRANG,False,False,True
315960,2,KBSTAR 대형고배당10TR,13665,5,-35,-0.26,13666.0,-6.6122,10781,147,471,국내 업종/테마,KBSTAR,False,False,False
400590,4,SOL 글로벌탄소배출권선물IHS(합성),12285,5,-55,-0.45,12360.0,2.8333,14266,175,467,해외 주식,SOL,False,False,False
204450,4,KODEX 차이나H레버리지(H),2745,5,-40,-1.44,2740.0,-4.9489,183877,503,467,해외 주식,KODEX,False,True,True
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),9200,5,-80,-0.86,9176.0,-8.7961,6676,61,460,해외 주식,KODEX,False,False,False
261260,7,KODEX 미국달러선물인버스2X,7130,2,50,0.71,7129.0,-12.9152,163789,1162,458,기타,KODEX,True,False,False
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,7755,5,-90,-1.15,7736.0,-16.8081,7428,57,447,해외 주식,TIGER,False,False,False
368190,2,HANARO Fn K-뉴딜디지털플러스,8480,5,-35,-0.41,8495.0,-8.8721,714,6,428,국내 업종/테마,HANARO,False,False,False
225800,7,KOSEF 미국달러선물레버리지,11705,5,-95,-0.81,11698.0,13.8446,2061,24,426,기타,KOSEF,False,True,False
256440,4,KINDEX 인도네시아MSCI(합성),9675,5,-25,-0.26,9796.0,-7.6631,1261,12,426,해외 주식,KINDEX,False,False,False
123320,3,TIGER 레버리지,14160,5,-130,-0.91,14182.0,-21.3539,76015,1074,425,국내 파생,TIGER,False,True,False
203780,4,TIGER 미국나스닥바이오,18740,5,-645,-3.33,18708.0,1.9726,11920,224,416,해외 주식,TIGER,False,False,False
